Datum;Anfang;Ende;Biomasse [MWh] Berechnete Auflösungen;Wasserkraft [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige Erneuerbare [MWh] Berechnete Auflösungen;Kernenergie [MWh] Berechnete Auflösungen;Braunkohle [MWh] Berechnete Auflösungen;Steinkohle [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Sonstige Konventionelle [MWh] Berechnete Auflösungen
29.03.2015;00:00;00:00;90.711;29.397;21.215,5;462.892,25;37.867,5;2.040;199.451,5;260.208,5;68.187,25;26.390,75;33.471;92.046,25
30.03.2015;00:00;00:00;94.919;39.090,5;27.639,5;495.187;90.401,75;2.327,75;223.267;268.727,25;114.732,75;31.462,75;29.037,5;128.731,5
31.03.2015;00:00;00:00;95.405;43.001,25;21.807,25;587.563,25;69.416,75;2.204;233.413,5;294.732,5;99.733;45.854,25;20.983,75;141.181
01.04.2015;00:00;00:00;95.954,25;45.680,25;24.753;561.974,25;98.711,75;3.137,25;236.737,5;298.598,75;83.847,25;49.334;27.522;130.190
02.04.2015;00:00;00:00;95.671;43.250,25;21.618,75;405.433;81.687;3.325;243.586;343.983,5;138.629,75;35.883,5;32.839,5;136.205,5
03.04.2015;00:00;00:00;95.935,75;43.028,25;8.902,75;173.752,5;140.230,25;3.565,75;229.414,5;350.189,25;103.946;32.644;30.956,5;127.336,25
04.04.2015;00:00;00:00;96.550,25;41.892,25;6.519,25;80.485;96.848,75;4.124;214.026,25;386.535;138.124,75;34.889;23.294,75;135.379,75
05.04.2015;00:00;00:00;96.452,5;39.057;2.589,5;71.704,75;151.389,25;3.492;208.145,5;347.935,75;94.296,75;31.105,5;24.298,5;126.034,5
06.04.2015;00:00;00:00;96.175,5;38.527,5;1.411,5;78.637,25;111.569;3.630,25;210.426;359.472,75;114.228,75;31.919;17.313,25;130.090
07.04.2015;00:00;00:00;95.937,5;38.339,25;8.714,5;136.328,75;159.794,25;3.547,5;221.939,5;381.876,75;227.317,25;34.694;26.660,25;179.377,5
08.04.2015;00:00;00:00;95.131;37.787;7.174,75;83.519,75;125.822,75;4.011;231.791,5;379.756,75;298.939,25;37.088;27.415;208.947,25
09.04.2015;00:00;00:00;95.530,75;37.424;413,75;24.183,25;175.448,25;3.866,25;236.685,5;389.494,75;296.474;32.644,5;29.016;208.016,75
10.04.2015;00:00;00:00;95.881,5;39.002,25;1.407;31.473,75;180.738,5;3.326,75;236.795,75;366.333,75;299.593,5;31.287;19.679,75;185.494,5
11.04.2015;00:00;00:00;95.566,25;40.682,5;18.923;315.520,25;112.847,75;2.842,25;206.129;327.969,5;97.976,25;25.776,75;25.902,25;111.399
12.04.2015;00:00;00:00;96.158,75;39.753,75;27.099;254.870,75;159.132,25;2.859;207.761,25;262.834,5;58.134,75;24.943;27.027;105.333
13.04.2015;00:00;00:00;95.900,25;40.416;19.253,5;356.613,5;144.957,75;2.959,25;219.290,5;300.063,75;171.937;32.390;29.346,25;125.896,5
14.04.2015;00:00;00:00;94.181,25;41.337,5;24.728;182.085,75;168.192;3.077,5;229.286;382.170;237.856,25;31.730,5;29.668,25;139.004,25
15.04.2015;00:00;00:00;93.543,75;42.238;25.588;267.059,25;193.769,75;2.914;231.066,75;355.365,75;198.637;29.467,75;34.315;130.778,5
16.04.2015;00:00;00:00;93.875,5;41.352;11.884;132.417,25;147.322,75;2.677,5;235.632,25;366.564,5;264.062,25;28.164;34.021,5;172.451
17.04.2015;00:00;00:00;93.684,25;42.629;15.815,25;132.234,25;104.331,75;2.439,5;236.762,5;355.593,25;293.171,25;25.906;31.895;187.515,75
18.04.2015;00:00;00:00;94.910,75;47.190;8.745;82.986;169.882,25;2.500;232.637,25;306.747,5;111.957,5;22.089,75;24.351,5;127.292,5
19.04.2015;00:00;00:00;95.886,25;41.962,75;5.858;42.582,5;198.880,5;2.491;227.557,5;302.837,5;91.474;23.349;19.463,75;129.561,25
20.04.2015;00:00;00:00;95.014,25;40.229;5.606,25;108.455,75;205.496,5;2.937,75;235.244;350.200;216.984,75;27.824,75;32.184;175.605,25
21.04.2015;00:00;00:00;94.217;40.312,75;18.501,25;198.295,25;206.990,5;3.155,75;233.257;338.250;212.594,75;27.094;27.520;163.491
22.04.2015;00:00;00:00;94.137,25;39.621,75;19.311,5;100.077,5;160.095,5;3.207,25;235.084,25;351.010,75;283.854;26.887,25;24.773,75;181.892,25
23.04.2015;00:00;00:00;93.622,5;40.269,25;5.067,25;49.211;175.934,75;3.208,75;236.083,5;348.893,25;300.738;19.734;28.048,5;181.983
24.04.2015;00:00;00:00;94.584,75;40.383,75;4.869,75;47.188,25;199.568,75;3.240,75;234.310;342.147,75;278.714,25;20.127,75;31.810,25;170.835,75
25.04.2015;00:00;00:00;95.080;39.392;23.583;126.243,25;94.439;2.924,25;227.913;295.230,25;144.528,25;14.330,25;24.921,25;112.119,5
26.04.2015;00:00;00:00;94.821,75;38.457,25;3.390,5;71.348,5;128.818,5;3.017,25;226.420,25;302.627;89.068,75;15.700,75;25.245,75;113.509,25
27.04.2015;00:00;00:00;95.349,25;41.888;7.775,25;117.831,25;115.393,75;3.276,25;232.424,75;315.428,5;274.875,75;20.511,5;30.994,75;160.872,75
28.04.2015;00:00;00:00;95.589,5;47.208,25;14.302,5;116.806,5;106.754,25;3.335,75;234.807,5;328.383;315.909,75;23.588,75;22.797,75;174.153
29.04.2015;00:00;00:00;94.916,25;46.790,25;23.490;125.537,5;188.718,75;3.179,75;233.810,5;333.858,25;269.676,75;29.206;26.899,5;154.092,25
30.04.2015;00:00;00:00;95.132;45.922,25;11.204,5;149.524;131.622,25;3.295;233.335,25;330.392,5;286.777,75;29.893,75;33.726,75;150.109,5
01.05.2015;00:00;00:00;95.595,5;44.797;4.751,25;64.240,75;103.279;3.011;231.484,75;292.070,25;89.833,75;25.059,25;26.127,25;106.475
02.05.2015;00:00;00:00;95.588,5;43.972,5;3.235,75;32.342,25;143.595,5;3.059;220.995,75;286.803,75;83.213;25.516,25;23.623,5;110.221,25
03.05.2015;00:00;00:00;95.365;46.322;25.290;187.458,25;88.594,25;2.803,75;202.600,25;260.052,75;72.949;23.770;31.205,75;115.408,5
04.05.2015;00:00;00:00;94.440,5;46.411,25;24.163,75;172.313,5;138.403,75;2.826,75;229.601;308.251;240.325,25;24.637,75;32.771,25;134.327,75
05.05.2015;00:00;00:00;94.386;48.636,75;33.970,25;355.272,75;107.215,75;2.742,25;231.338,25;325.503;136.784,25;25.215,75;35.864,25;117.638,25
06.05.2015;00:00;00:00;93.345;49.234,75;33.248,75;259.048,5;145.293,25;2.815,5;232.539,75;335.768;135.731;24.714;23.770,5;110.852,5
07.05.2015;00:00;00:00;93.797,5;48.541,25;24.880,25;264.513,25;162.957,25;2.802,75;228.883,75;333.391,25;149.385,25;24.329,25;30.114;121.341,75
08.05.2015;00:00;00:00;94.274;48.933,25;5.199,25;37.388,25;176.127,5;2.821;233.722,25;319.550,75;174.205,25;25.492;27.311,25;126.537,5
09.05.2015;00:00;00:00;94.066,75;49.701,75;33.443,5;237.342;113.681,75;2.520;229.457,5;265.431,75;64.516,75;29.673,75;25.777,5;108.995,75
10.05.2015;00:00;00:00;95.094;50.469,25;19.386,75;240.479,5;181.401,75;2.519;197.062,75;219.770,5;44.894;22.632,5;27.857;99.101,5
11.05.2015;00:00;00:00;94.471,25;49.420,5;25.937;137.913,5;189.039;2.512,5;232.227;325.603,5;134.000,5;31.581,25;29.917;136.790,5
12.05.2015;00:00;00:00;93.615,5;49.736,75;21.720,25;251.837,25;161.219,5;2.454,25;230.248,5;318.967,5;142.209;35.398,75;28.601;118.788,25
13.05.2015;00:00;00:00;94.410,75;50.675,75;30.379;202.877;177.508,5;2.482,25;230.957;310.436,5;121.878;34.239;29.276,25;129.800,5
14.05.2015;00:00;00:00;94.063;50.972;11.681;72.136,5;145.414,75;2.527;231.216,5;299.964,25;77.799;25.899,75;25.319,75;103.978,25
15.05.2015;00:00;00:00;93.876,75;50.289,75;3.928;51.934,5;145.866,5;2.550,5;230.278,25;314.063,75;111.691,25;22.792;37.944,75;110.738,25
16.05.2015;00:00;00:00;94.288,5;49.900;17.997,75;156.868,5;138.179,75;2.533,25;228.351;262.796;52.824,75;26.068,75;23.108,5;110.236
17.05.2015;00:00;00:00;94.555,5;50.963,25;21.044,75;220.352,5;149.477,25;2.540,25;216.897,25;215.908;40.489;24.277,25;25.230,75;102.468,25
18.05.2015;00:00;00:00;95.184,25;51.808;17.098,25;129.047,75;182.097,5;2.464;227.177;311.842,25;153.710,25;35.321,25;27.728,25;132.177
19.05.2015;00:00;00:00;94.866,25;52.194;18.660;233.109;125.099,25;2.465,75;226.328;305.813,5;184.265,5;29.838,25;26.545,75;145.613,75
20.05.2015;00:00;00:00;94.953;48.444,75;11.145,5;82.522,25;105.491,75;2.471,25;228.266,5;306.847,75;247.550,75;28.695,25;32.768,75;184.011
21.05.2015;00:00;00:00;94.739,25;47.347,25;7.215;67.080,5;140.319,25;2.456,75;229.943,75;298.451,5;247.702;28.738,25;37.922,5;182.111,25
22.05.2015;00:00;00:00;94.718,5;49.966,5;9.962,25;31.278,75;176.991,25;2.554,75;229.285,25;273.232;249.153,75;30.128,75;28.028;149.485,75
23.05.2015;00:00;00:00;95.924,75;51.973,5;8.162;62.002,5;119.797,25;2.564,25;226.591,75;248.663,25;105.664,25;30.449,5;23.633,5;118.907,25
24.05.2015;00:00;00:00;96.940,75;51.065,25;5.296,25;18.131,25;143.268,75;2.555,75;218.632;227.559;84.443;27.108,5;25.257,25;101.267,75
25.05.2015;00:00;00:00;97.206;53.103,5;6.160,25;63.300,75;113.395,25;2.537;224.728;234.526,75;99.653;19.520,5;23.328;104.976
26.05.2015;00:00;00:00;95.803,25;51.819,25;19.153;121.745,5;110.495;2.546,5;225.751,5;274.074,75;239.327,5;22.899;34.316,75;155.984
27.05.2015;00:00;00:00;95.319;48.507;12.678;113.729;117.913,25;2.561;225.302;310.235;265.069,25;30.273,75;37.569,25;158.582,75
28.05.2015;00:00;00:00;95.534,25;48.370;28.737;232.526;165.646;2.541,75;221.794;305.458,75;220.590,5;33.801,5;32.897,75;128.295,25
29.05.2015;00:00;00:00;96.021,25;48.547,75;20.312,5;129.572,25;147.593,5;2.467,75;221.465,75;312.746,25;223.938,5;32.994,25;31.883,25;142.803,25
30.05.2015;00:00;00:00;95.984,25;48.712,75;29.997,25;233.138,75;140.754;2.419,5;193.348,5;274.429,25;60.440,75;32.278,75;30.651,5;117.731,75
31.05.2015;00:00;00:00;96.504;47.212,75;30.318,25;236.140;155.473;2.425,5;194.312,5;257.589;40.856,75;32.796,75;22.556,5;103.956
01.06.2015;00:00;00:00;94.493,5;46.664,25;22.989,5;141.256;132.071;2.300,5;221.646,25;307.574;218.214,75;29.014;30.957,75;143.409,5
02.06.2015;00:00;00:00;92.154,75;49.281,75;29.596,25;424.788;154.355,25;2.288,75;216.259,75;304.462;85.315;29.207;29.393;122.203,75
03.06.2015;00:00;00:00;89.222;50.739,25;26.823,25;323.231;177.704,75;2.241;217.771,25;311.277,25;108.388,5;27.350,25;31.036,75;133.985
04.06.2015;00:00;00:00;93.640;50.534;2.418,5;41.775;218.297,75;2.241,5;215.275,75;336.703;107.379,5;28.634,5;33.074;112.596
05.06.2015;00:00;00:00;92.216,25;49.059;18.600,75;134.855,25;216.419,25;2.225;216.137,25;333.919,75;103.980,75;28.426;37.450,75;126.992
06.06.2015;00:00;00:00;92.023;48.586,5;24.224,25;168.864,75;181.009,75;2.249;214.536,5;303.521,75;77.564;26.261,5;30.245;97.962,5
07.06.2015;00:00;00:00;92.687,5;46.499,5;19.004,75;90.963,75;186.589,75;2.212,5;210.763;281.204,75;60.139;26.271;28.583,75;99.463
08.06.2015;00:00;00:00;91.577,5;46.392;15.803,5;142.078,75;119.035,5;2.268,75;217.632;330.963;216.731,25;29.736;27.415;153.079,25
09.06.2015;00:00;00:00;90.151,5;45.652;11.313,75;101.304;97.875,5;2.524;219.514,5;341.631,75;245.201,75;32.515,5;32.838,5;192.883,75
10.06.2015;00:00;00:00;89.954,5;48.729,5;9.874;74.324,5;143.399;2.868,75;217.880;349.217,75;253.309;28.644,5;29.281,25;188.483,5
11.06.2015;00:00;00:00;91.738,5;50.428,25;4.710,25;55.090,5;172.317,75;2.838,25;216.931,25;329.313,25;266.220,75;28.220,75;32.084,25;186.848,25
